Date,Channel,Size,Qty,Unit price,Revenue,Note
2026-08-31/09-01,Presale (online),XS,2,50.00,100.00,ships with signed card
2026-08-31/09-01,Presale (online),S,13,50.00,650.00,ships with signed card
2026-08-31/09-01,Presale (online),M,17,50.00,850.00,ships with signed card
2026-08-31/09-01,Presale (online),L,9,50.00,450.00,ships with signed card
2026-08-31/09-01,Presale (online),XL,6,50.00,300.00,ships with signed card
2026-09-02,Show — Moroccan Lounge,S,3,35.00,105.00,cash/in person
2026-09-02,Show — Moroccan Lounge,L,1,35.00,35.00,cash/in person
2026-09-02,Show — giveaway,S,3,0.00,0.00,comped
2026-09-02,Show — giveaway,M,1,0.00,0.00,comped
